pop,k1,k2,k3,k4,k5,k6,k7
ACB,9.124791666666667e-4,2.0743750000000008e-4,0.1086276875,1e-5,0.002002208333333335,3.474999999999999e-5,0.8882053958333334
ASW,0.06446693333333334,0.0038613999999999996,0.29803688333333334,1e-5,0.038867983333333335,1e-5,0.5947467333333334
Amhara,1e-5,1e-5,0.3444233181818182,1e-5,1e-5,0.6555266818181819,1e-5
Baganda,1.0066666666666668e-5,0.007572146666666671,0.00102712,0.029228880000000027,0.8822619333333334,0.037824840000000005,0.04207498666666667
Bakiga,1.0033333333333334e-5,0.0015160000000000002,0.07136033333333332,1.02e-5,0.8159538333333334,0.08855523333333333,0.022594466666666667
Banyankole,1e-5,1e-5,0.006829194444444445,1e-5,0.8184971388888889,0.1506896388888889,0.023954
Banyarwanda,1.0086734693877551e-5,6.81994897959184e-4,0.004288132653061225,1.0040816326530613e-5,0.8433914846938776,0.1266579081632653,0.02496036224489796
Barundi,1.0058823529411766e-5,0.0014236862745098037,0.0016301960784313725,0.0010744509803921566,0.876247862745098,0.08526778431372549,0.034346039215686276
Batooro,1e-5,1e-5,1e-5,1e-5,0.918693,1e-5,0.081257
CHB,0.9513536019417476,1.037864077669903e-5,5.438834951456314e-5,1e-5,1.0097087378640778e-5,1.1223300970873787e-5,0.04855029126213595
ESN,1.0721649484536083e-5,1.0113402061855671e-5,6.167216494845364e-4,1e-5,1e-5,1.8581443298969067e-4,0.9991566288659794
Egyptians,1.0529411764705883e-5,8.111176470588235e-4,0.7763930294117647,1e-5,8.587352941176472e-4,0.1806174117647059,0.041299088235294115
GBR,0.0021730769230769212,2.321978021978023e-5,0.9434039120879121,1e-5,6.13835164835166e-4,1.0010989010989012e-5,0.053765945054945
GIH,0.31976022330097087,0.0017302135922330087,0.6350714368932039,0.04340802912621358,1.0077669902912622e-5,1.0029126213592234e-5,1e-5
GWD,1.0663716814159293e-5,1.0035398230088496e-5,0.01761510619469027,1e-5,8.178761061946918e-5,2.65132743362832e-4,0.9820072566371681
Gumuz,1e-5,1e-5,1e-5,1e-5,1e-5,0.99994,1e-5
LWK,0.009362632653061236,8.700204081632657e-4,0.033975816326530614,1e-5,0.7948344183673469,0.03623378571428572,0.12471337755102042
MSL,1.3376470588235294e-5,1.0305882352941177e-5,5.112352941176468e-4,1e-5,1e-5,3.3752941176470586e-5,0.9994113058823529
MXL,0.36958225,8.006562500000003e-4,0.483354234375,1.0046875e-5,0.009607765625,1e-5,0.13663515625
Nama/Khoe-San,NA,NA,NA,NA,NA,NA,NA
Nyanjiro(Tanzania),1e-5,1e-5,0.018151,1e-5,0.670635,0.311173,1e-5
Oromo,1e-5,1e-5,0.294208375,1e-5,1e-5,0.705741625,1e-5
RwandeseUgandan,1.0109589041095891e-5,0.0010872465753424651,0.006166739726027398,1.0082191780821918e-5,0.813410698630137,0.15347908219178083,0.025835999999999998
Somali,2.745652173913043e-4,1e-5,0.17999395652173913,1e-5,1e-5,0.8151471739130435,0.004554304347826087
TSI,0.014752532710280382,1e-5,0.9851974018691589,1.0009345794392523e-5,1e-5,1.0056074766355142e-5,1e-5
Wolayta,1e-5,1e-5,0.19390258333333332,1e-5,1e-5,0.8060474166666667,1e-5
YRI,0.04630290740740739,1.0074074074074074e-5,1.6115740740740747e-4,1e-5,0.08332482407407402,0.0014863888888888884,0.8687046481481483
Zulu,1.5548979591836713e-4,0.9974438469387755,0.0018447959183673461,4.887755102040817e-4,1.0153061224489797e-5,1.0112244897959185e-5,4.6836734693877584e-5
uganda_gwas_unknown,1e-5,1e-5,0.013157,1e-5,0.633582,0.3532206666666667,1e-5
